disease_key,query_total,fetched,relevant,inserted,skipped_dup,skipped_low,errors
COVID19,1428,108,0,0,0,108,0
SeasonalInfluenza,307,198,169,169,0,29,0
PandemicInfluenza,124,88,56,56,0,32,0
Tuberculosis,253,196,159,159,0,37,0
Measles,165,147,115,115,0,32,0
Malaria,303,194,157,157,0,37,0
Dengue,612,147,72,72,0,75,0
Ebola,90,78,59,59,0,19,0
HIV,256,168,156,156,0,12,0
Cholera,74,73,63,63,0,10,0
Mpox,35,33,27,27,0,6,0
Chikungunya,331,68,20,20,0,48,0
MeningococcalMeningitis,19,19,10,10,0,9,0
MalariaWestAfrica,30,10,5,5,0,5,0
HepatitisBVirus,75,74,64,64,0,10,0
GenericSEIR,336,110,102,102,0,8,0
StochasticModels,362,76,73,73,0,3,0
ABMModels,258,88,75,75,0,13,0
SpatialMetapopulation,108,80,78,78,0,2,0
